study_hours_per_day,prep_days_before_exam,attendance_percentage,internal_marks,internal_marks_weight,subject_difficulty,study_material_source,past_performance,self_study_or_coaching,motivation_level,doubt_resolution_time,exam_anxiety_level,final_exam_marks
4.98,25.0,92.32,69.09,,5.0,Textbooks,73.93,Coaching,4.0,5.65,4.0,53.3
0.83,16.0,82.45,72.57,0.4,3.0,Notes,62.93,Self-study,3.0,2.37,3.0,49.2
1.58,12.0,100.0,52.94,0.39,4.0,YouTube,73.13,Self-study,3.0,9.62,4.0,43.6
3.82,36.0,82.98,54.56,0.4,3.0,Coaching,59.0,Coaching,3.0,14.09,4.0,57.0
1.92,22.0,89.33,60.43,0.49,3.0,YouTube,80.21,Coaching,2.0,6.18,4.0,58.7
2.98,18.0,71.04,52.08,0.85,2.0,Textbooks,81.76,Coaching,5.0,4.95,3.0,55.7
3.82,17.0,81.09,53.8,0.53,3.0,Notes,43.61,Self-study,5.0,4.84,1.0,52.8
2.44,15.0,95.83,78.18,0.68,,Textbooks,67.7,Self-study,4.0,0.0,3.0,69.6
5.4,22.0,80.45,58.52,0.74,1.0,Notes,83.57,Coaching,,8.55,3.0,65.8
3.26,23.0,90.39,81.6,0.48,4.0,Notes,67.01,,3.0,8.59,1.0,60.9
1.2,16.0,74.94,64.41,0.5,2.0,,76.19,Coaching,5.0,1.36,3.0,55.1
2.77,18.0,,82.81,0.72,3.0,YouTube,76.81,,4.0,4.05,3.0,67.2
3.15,16.0,90.45,89.68,0.64,3.0,Textbooks,87.2,Self-study,2.0,5.43,4.0,63.3
5.19,34.0,77.25,78.24,0.69,5.0,Coaching,75.5,Coaching,3.0,1.26,2.0,71.1
5.23,11.0,71.56,76.28,0.95,2.0,Textbooks,61.52,Self-study,3.0,5.1,3.0,72.9
,18.0,85.35,85.68,0.78,2.0,Notes,100.0,Self-study,3.0,0.58,5.0,83.0
6.72,13.0,90.51,73.7,0.73,3.0,Coaching,80.78,Self-study,3.0,3.11,4.0,68.0
4.55,19.0,85.88,52.27,0.44,3.0,Textbooks,75.47,Self-study,4.0,1.6,4.0,58.2
3.81,6.0,65.32,81.81,0.36,3.0,Textbooks,77.44,Coaching,3.0,0.0,3.0,51.1
1.63,13.0,75.67,75.22,0.58,3.0,Notes,44.58,Self-study,3.0,0.0,5.0,46.6
3.26,9.0,88.29,72.2,0.78,4.0,Notes,77.87,Coaching,3.0,6.83,2.0,71.5
1.42,27.0,48.65,87.32,0.34,4.0,Notes,68.01,Self-study,4.0,7.91,3.0,39.1
4.09,20.0,89.75,91.05,0.57,,Textbooks,62.95,Self-study,2.0,3.93,1.0,72.2
6.44,21.0,78.91,77.59,0.1,4.0,Notes,62.41,Self-study,4.0,4.77,3.0,47.7
4.16,24.0,91.55,76.99,0.57,1.0,Textbooks,63.08,Coaching,4.0,6.69,1.0,74.7
3.92,,78.37,73.78,0.33,2.0,,63.41,Coaching,5.0,4.44,2.0,57.2
3.66,6.0,86.75,58.25,0.19,4.0,Notes,65.04,Coaching,4.0,4.05,4.0,38.8
2.01,32.0,80.69,55.32,0.36,3.0,Notes,73.97,Self-study,4.0,8.62,4.0,50.1
1.87,0.0,81.51,84.64,0.42,4.0,YouTube,61.86,Coaching,3.0,6.72,3.0,42.0
6.2,15.0,90.7,78.51,0.42,2.0,YouTube,63.8,Coaching,3.0,3.88,5.0,61.8
,21.0,88.84,57.93,0.18,1.0,Notes,62.08,Self-study,4.0,7.74,2.0,52.4
2.97,6.0,89.43,58.92,0.17,1.0,Notes,63.94,Group study,3.0,6.83,2.0,43.0
4.84,10.0,94.39,50.17,0.5,3.0,Coaching,54.24,Self-study,3.0,3.77,2.0,50.6
3.66,22.0,73.66,72.11,0.73,3.0,Textbooks,71.85,Self-study,3.0,4.31,3.0,54.6
4.54,16.0,70.36,87.58,0.8,3.0,Notes,60.84,Self-study,3.0,4.03,2.0,75.0
2.95,17.0,82.5,54.95,0.36,2.0,Coaching,56.95,Self-study,2.0,6.2,2.0,47.3
1.2,28.0,83.57,82.4,0.43,4.0,Textbooks,66.0,Coaching,5.0,4.67,2.0,52.3
4.76,28.0,84.44,66.31,0.4,4.0,YouTube,53.58,Coaching,2.0,0.76,1.0,59.5
7.25,18.0,70.18,59.37,0.45,4.0,YouTube,91.02,Self-study,4.0,4.53,4.0,55.6
2.82,30.0,74.89,61.3,0.18,3.0,YouTube,60.66,Self-study,3.0,0.02,4.0,45.8
3.44,21.0,94.38,80.11,0.71,3.0,YouTube,72.71,Self-study,3.0,,2.0,67.0
4.54,22.0,82.19,99.46,0.42,2.0,Coaching,65.32,Self-study,3.0,0.96,3.0,69.2
3.08,14.0,66.42,81.75,0.9,5.0,Notes,71.16,Self-study,2.0,0.26,5.0,51.6
2.24,16.0,100.0,75.3,0.25,3.0,Notes,62.83,Self-study,5.0,3.21,,53.5
2.91,5.0,76.67,74.34,0.44,2.0,Notes,60.14,Coaching,3.0,1.45,3.0,49.8
4.55,10.0,83.52,75.9,0.39,3.0,Notes,,Self-study,2.0,3.68,4.0,52.8
3.82,15.0,80.52,86.85,0.14,,Notes,63.53,Self-study,4.0,4.03,4.0,47.9
2.39,34.0,86.79,74.56,0.82,5.0,Coaching,70.84,Coaching,3.0,6.23,1.0,68.0
3.0,40.0,72.08,80.33,0.29,4.0,YouTube,64.21,Self-study,4.0,6.55,5.0,54.8
5.91,28.0,,55.97,0.72,4.0,YouTube,76.99,Coaching,5.0,8.99,3.0,71.0
2.16,23.0,79.54,78.37,0.36,3.0,Textbooks,72.36,Group study,3.0,1.19,3.0,50.3
2.6,29.0,70.2,99.51,0.63,2.0,YouTube,76.9,Self-study,,3.1,2.0,72.3
5.84,16.0,94.0,72.04,0.87,2.0,Textbooks,95.84,Self-study,2.0,8.91,2.0,85.6
,34.0,,73.87,0.71,2.0,Textbooks,64.55,Coaching,4.0,7.11,4.0,62.9
1.56,10.0,88.54,84.03,0.64,4.0,Textbooks,67.7,Coaching,5.0,4.09,5.0,57.0
2.74,33.0,85.52,67.54,0.67,1.0,Textbooks,76.4,Self-study,2.0,0.0,2.0,74.5
2.6,28.0,82.37,68.26,0.23,4.0,Textbooks,100.0,Self-study,4.0,4.83,1.0,58.4
3.51,34.0,87.83,68.3,0.37,3.0,YouTube,61.04,Group study,3.0,7.42,4.0,50.4
7.36,21.0,74.13,,0.27,2.0,Coaching,77.5,,3.0,3.7,3.0,62.4
2.61,21.0,80.93,,0.69,3.0,Notes,95.74,Coaching,5.0,0.0,3.0,54.1
4.35,8.0,93.5,47.32,0.8,5.0,Textbooks,87.44,Self-study,4.0,1.77,2.0,61.9
4.71,18.0,87.81,45.96,0.21,2.0,Notes,80.47,Self-study,2.0,4.43,3.0,46.1
3.16,29.0,94.19,63.15,0.32,2.0,Textbooks,73.59,Coaching,4.0,0.0,2.0,66.2
4.84,25.0,91.98,69.82,0.57,5.0,YouTube,67.65,Self-study,2.0,5.03,3.0,50.6
5.38,17.0,98.78,100.0,0.14,3.0,Textbooks,65.59,Group study,4.0,4.85,2.0,55.3
1.84,14.0,69.43,88.67,0.59,2.0,Coaching,80.61,Coaching,3.0,2.9,2.0,57.4
3.67,12.0,93.02,92.11,0.67,3.0,YouTube,54.05,Coaching,3.0,4.64,3.0,65.0
2.44,34.0,89.93,66.43,0.41,3.0,Coaching,59.59,Self-study,3.0,9.36,3.0,57.4
3.65,7.0,99.5,82.16,0.8,3.0,Textbooks,98.8,Group study,5.0,0.85,3.0,66.8
2.11,30.0,75.71,88.91,0.74,5.0,YouTube,67.01,Self-study,4.0,5.39,3.0,70.0
3.21,10.0,86.42,49.04,0.1,5.0,Textbooks,63.73,Self-study,3.0,7.46,5.0,33.0
3.76,36.0,81.59,87.2,0.69,3.0,Textbooks,66.13,Coaching,1.0,0.77,2.0,75.4
4.63,26.0,76.3,72.56,0.45,4.0,Notes,72.72,Self-study,4.0,3.14,4.0,58.0
4.44,31.0,100.0,65.48,0.3,1.0,Notes,58.08,Coaching,3.0,4.78,3.0,57.6
2.09,15.0,76.27,67.33,0.49,2.0,YouTube,76.61,Coaching,4.0,2.37,3.0,58.7
,25.0,77.3,78.58,0.87,2.0,Coaching,60.05,Self-study,3.0,6.16,4.0,67.8
2.93,14.0,,72.0,0.66,4.0,Coaching,53.87,Self-study,3.0,2.47,3.0,49.1
0.55,14.0,84.17,68.68,0.92,4.0,YouTube,83.12,Coaching,4.0,3.74,4.0,65.3
5.48,28.0,100.0,71.8,0.44,2.0,Textbooks,84.83,Coaching,4.0,6.64,3.0,64.6
,16.0,92.95,77.16,0.24,2.0,Textbooks,44.93,Self-study,4.0,8.5,2.0,50.6
2.74,10.0,87.9,68.36,0.56,3.0,Textbooks,52.72,Group study,3.0,5.4,3.0,49.5
2.88,15.0,88.96,79.3,0.69,3.0,Coaching,55.79,Group study,3.0,5.81,3.0,59.9
1.99,24.0,56.85,59.41,0.52,3.0,Coaching,58.75,Coaching,3.0,5.06,1.0,53.6
4.33,24.0,82.87,78.5,0.42,5.0,Notes,82.34,Group study,4.0,6.75,1.0,55.4
,20.0,73.18,68.09,0.23,,Coaching,96.88,Self-study,3.0,6.18,5.0,47.1
4.31,18.0,97.15,52.0,0.23,4.0,YouTube,61.74,Self-study,2.0,8.32,5.0,45.2
6.01,26.0,94.89,55.2,0.73,2.0,Notes,73.95,Self-study,2.0,4.89,3.0,67.3
4.68,19.0,81.87,67.28,0.27,3.0,Coaching,65.57,Group study,3.0,0.0,1.0,64.0
4.01,4.0,83.31,82.06,0.4,3.0,Textbooks,83.27,Group study,3.0,7.63,3.0,58.6
4.61,29.0,84.06,74.55,0.46,3.0,Textbooks,64.68,Group study,2.0,7.23,5.0,53.8
6.15,0.0,89.87,48.81,0.44,3.0,Textbooks,73.31,Self-study,3.0,7.19,3.0,55.6
5.18,40.0,87.75,51.45,0.48,5.0,YouTube,79.48,Coaching,1.0,7.13,4.0,51.5
2.59,30.0,88.18,85.57,0.85,3.0,Notes,51.49,Self-study,4.0,6.04,,76.8
1.94,24.0,89.56,39.54,0.62,3.0,Notes,50.75,Group study,5.0,7.25,3.0,53.9
1.62,12.0,92.68,61.14,0.29,4.0,Textbooks,88.16,Coaching,5.0,,4.0,46.5
2.36,7.0,92.64,57.05,0.42,4.0,Notes,71.56,Group study,3.0,,1.0,48.7
5.44,45.0,79.0,83.25,,1.0,Notes,,Self-study,3.0,0.0,2.0,79.0
4.52,22.0,100.0,41.97,0.62,4.0,Coaching,69.5,Coaching,5.0,6.53,2.0,64.2
0.17,18.0,100.0,77.7,0.6,2.0,Coaching,81.57,Self-study,2.0,3.49,3.0,56.2
2.67,15.0,95.91,86.17,0.28,3.0,Coaching,68.61,Self-study,3.0,8.38,5.0,48.9
3.66,6.0,76.86,66.82,0.29,5.0,YouTube,84.91,Group study,4.0,3.86,3.0,43.0
0.73,27.0,75.31,,0.47,3.0,Textbooks,59.18,Self-study,4.0,7.42,3.0,51.2
4.57,22.0,,72.22,0.73,3.0,Textbooks,71.07,Self-study,,3.03,4.0,72.6
5.87,26.0,79.76,81.76,,3.0,Textbooks,70.12,Group study,3.0,6.66,4.0,82.4
6.31,30.0,83.06,54.55,0.78,3.0,Textbooks,81.02,Self-study,4.0,4.68,2.0,65.7
2.3,39.0,,64.26,0.34,,Notes,56.34,Self-study,5.0,9.38,3.0,58.5
5.11,24.0,100.0,84.44,0.89,3.0,Textbooks,78.21,Coaching,5.0,9.09,3.0,94.7
3.85,23.0,,91.31,0.69,4.0,YouTube,59.9,Coaching,3.0,10.57,3.0,75.5
0.58,14.0,91.39,68.93,0.82,5.0,Textbooks,71.72,Self-study,,9.76,2.0,55.1
3.99,26.0,86.44,60.51,0.5,2.0,Notes,57.28,Self-study,3.0,0.28,1.0,51.6
2.75,20.0,79.77,100.0,0.98,3.0,Textbooks,74.25,Coaching,,6.74,5.0,86.4
2.38,28.0,90.65,88.57,0.7,4.0,Notes,83.71,Self-study,3.0,3.66,5.0,65.4
4.42,3.0,82.85,49.91,0.39,4.0,YouTube,74.87,Coaching,2.0,8.77,2.0,49.4
4.34,20.0,92.18,57.9,0.64,3.0,YouTube,81.09,Coaching,4.0,10.13,3.0,64.3
3.05,26.0,80.59,71.78,0.37,5.0,Textbooks,84.63,Coaching,3.0,4.98,3.0,57.3
4.85,26.0,91.07,92.49,0.1,5.0,YouTube,,Coaching,2.0,7.76,3.0,39.6
3.41,23.0,80.12,73.79,0.13,1.0,YouTube,59.52,Coaching,2.0,5.96,3.0,45.4
4.99,18.0,73.74,46.05,0.45,3.0,YouTube,81.25,Self-study,3.0,0.15,4.0,44.5
1.54,2.0,80.86,93.49,,2.0,Coaching,54.01,Coaching,,10.74,3.0,59.3
4.35,28.0,89.78,87.85,0.82,2.0,Notes,51.01,Self-study,2.0,8.5,3.0,76.0
2.24,22.0,56.51,88.01,0.65,,Notes,72.03,Coaching,4.0,4.71,2.0,61.7
2.89,21.0,88.92,51.24,0.75,,Textbooks,57.59,Self-study,4.0,7.45,5.0,54.5
0.7,24.0,71.36,71.33,0.2,5.0,Textbooks,78.3,Self-study,2.0,4.76,3.0,39.4
3.48,6.0,92.61,69.66,0.71,3.0,Textbooks,83.36,Coaching,2.0,6.67,3.0,64.0
1.73,14.0,83.12,62.85,0.18,2.0,Coaching,89.65,Coaching,2.0,7.64,,51.9
3.47,33.0,78.85,77.69,0.48,5.0,YouTube,74.15,Self-study,5.0,6.52,1.0,53.9
4.36,22.0,92.44,46.14,0.48,3.0,Coaching,65.12,Group study,3.0,7.26,1.0,61.9
2.72,8.0,90.17,58.95,0.48,3.0,Coaching,61.85,Coaching,4.0,4.91,1.0,54.6
3.65,19.0,83.63,,0.29,3.0,Notes,75.58,Self-study,3.0,5.33,3.0,52.2
1.26,17.0,100.0,61.33,0.38,4.0,YouTube,87.23,,1.0,8.89,2.0,48.3
1.93,22.0,100.0,84.87,0.46,3.0,Textbooks,80.97,Coaching,4.0,0.0,2.0,54.0
3.16,22.0,94.34,82.1,0.43,5.0,Textbooks,73.76,Group study,5.0,8.33,3.0,60.8
3.46,21.0,,51.63,0.3,2.0,Coaching,56.06,Group study,4.0,4.94,3.0,50.1
2.74,25.0,81.25,,0.65,3.0,Notes,76.94,Group study,3.0,4.16,2.0,64.1
3.72,14.0,98.13,73.38,0.48,5.0,YouTube,75.65,Coaching,3.0,11.93,1.0,63.1
6.21,13.0,77.68,56.24,0.1,2.0,Textbooks,51.4,Self-study,3.0,4.75,4.0,45.6
5.85,15.0,70.57,,0.62,4.0,Textbooks,80.31,Group study,4.0,6.08,2.0,66.6
3.42,15.0,100.0,95.75,0.44,4.0,Notes,86.74,Group study,,6.3,3.0,66.5
5.13,0.0,100.0,87.07,,3.0,Coaching,65.09,Coaching,4.0,1.71,3.0,64.9
6.01,0.0,100.0,78.29,0.46,3.0,YouTube,60.55,Coaching,4.0,3.27,4.0,50.4
1.22,26.0,82.16,55.65,0.55,3.0,YouTube,74.33,Group study,4.0,8.88,1.0,47.9
0.84,39.0,72.86,80.13,0.71,,Notes,61.54,Self-study,3.0,2.16,4.0,67.4
1.6,20.0,88.28,70.82,0.54,3.0,Textbooks,53.27,Self-study,2.0,2.86,1.0,54.5
5.66,33.0,87.11,64.92,0.38,4.0,Textbooks,70.6,Self-study,4.0,6.26,2.0,69.3
,18.0,76.54,84.57,0.83,4.0,Coaching,60.26,Group study,4.0,0.45,3.0,65.5
1.69,20.0,85.4,60.78,0.42,3.0,Coaching,68.51,Coaching,5.0,8.26,5.0,54.4
2.68,2.0,78.34,66.41,0.7,2.0,,70.02,Coaching,3.0,3.71,2.0,60.5
3.63,36.0,93.93,62.9,0.84,2.0,Coaching,60.04,Self-study,1.0,3.9,4.0,73.3
5.89,14.0,93.03,69.41,0.93,3.0,YouTube,62.25,Self-study,3.0,1.2,2.0,81.7
1.49,22.0,77.2,79.53,0.7,2.0,Notes,45.61,Coaching,3.0,2.15,1.0,61.4
0.62,22.0,100.0,78.75,0.39,4.0,Notes,79.57,Self-study,2.0,4.43,2.0,56.4
2.15,17.0,84.74,82.56,0.61,1.0,Notes,85.2,Self-study,2.0,3.69,5.0,61.5
3.98,30.0,86.7,84.53,0.36,3.0,Textbooks,68.0,Self-study,2.0,4.7,3.0,49.1
5.49,36.0,83.73,64.71,0.16,3.0,Notes,50.49,Coaching,1.0,0.71,3.0,50.4
3.16,36.0,93.47,67.95,0.1,3.0,,65.51,Self-study,3.0,9.75,2.0,55.0
,27.0,100.0,75.98,0.45,3.0,YouTube,68.59,Coaching,5.0,6.58,3.0,48.0
4.93,25.0,97.31,97.12,0.51,3.0,Textbooks,64.76,Self-study,4.0,1.63,2.0,77.7
1.24,24.0,91.8,70.89,0.63,5.0,Textbooks,86.34,Coaching,3.0,4.76,3.0,54.8
3.16,4.0,80.33,67.85,0.74,1.0,YouTube,69.6,Coaching,4.0,6.35,1.0,61.5
2.89,18.0,90.93,89.86,0.5,3.0,Textbooks,59.29,Group study,4.0,6.55,3.0,60.5
2.01,14.0,92.6,74.83,0.56,5.0,Textbooks,87.27,Coaching,3.0,5.48,3.0,55.5
,21.0,89.15,48.81,0.68,2.0,YouTube,74.23,Coaching,3.0,0.0,4.0,62.1
2.0,12.0,81.96,65.73,0.44,4.0,Coaching,72.28,Coaching,1.0,,5.0,43.2
3.06,26.0,74.56,84.29,0.43,2.0,YouTube,63.04,Self-study,4.0,1.82,4.0,45.4
3.54,4.0,88.13,57.33,0.72,3.0,YouTube,84.4,,5.0,6.8,4.0,51.7
2.28,16.0,92.26,71.1,0.46,3.0,Notes,73.93,Self-study,4.0,0.84,4.0,60.2
1.65,41.0,82.81,100.0,0.28,5.0,Textbooks,59.62,Self-study,2.0,4.32,3.0,50.9
2.25,31.0,90.1,68.66,0.23,3.0,Textbooks,76.13,Group study,5.0,,3.0,57.1
2.08,22.0,95.39,66.14,0.83,4.0,YouTube,75.59,Self-study,5.0,5.03,3.0,72.1
0.45,6.0,82.59,72.24,0.49,3.0,Notes,78.72,Self-study,4.0,3.39,3.0,43.8
3.42,11.0,96.27,77.96,0.3,2.0,YouTube,76.81,Group study,2.0,7.34,2.0,58.2
4.91,28.0,100.0,,,3.0,YouTube,76.93,Self-study,2.0,4.59,1.0,79.6
1.49,21.0,96.16,62.4,0.1,5.0,Textbooks,75.84,Coaching,5.0,5.63,1.0,36.2
1.35,13.0,83.81,58.86,0.21,3.0,Coaching,75.76,Group study,4.0,4.85,4.0,36.1
2.29,24.0,95.32,80.14,0.39,3.0,Textbooks,72.64,Self-study,4.0,5.57,3.0,64.2
,31.0,83.9,77.96,0.16,3.0,YouTube,56.79,Group study,3.0,6.88,1.0,50.5
1.03,19.0,100.0,66.29,0.4,2.0,Textbooks,48.59,Group study,3.0,1.48,,44.5
5.68,34.0,76.71,50.21,0.65,5.0,YouTube,76.75,Coaching,1.0,7.04,3.0,60.3
7.18,20.0,88.3,70.76,0.4,3.0,YouTube,71.23,Coaching,2.0,1.8,3.0,67.5
4.6,18.0,82.52,81.28,,4.0,YouTube,50.23,Self-study,4.0,13.69,3.0,40.2
3.16,23.0,92.5,51.48,0.53,2.0,YouTube,56.49,Coaching,3.0,5.71,4.0,52.0
4.26,9.0,100.0,73.83,0.55,3.0,Notes,64.56,Group study,1.0,2.93,3.0,57.8
2.4,,86.08,71.48,0.26,3.0,Textbooks,,Self-study,3.0,4.0,1.0,48.5
5.14,15.0,77.96,72.25,0.55,3.0,YouTube,57.95,,3.0,4.79,2.0,58.4
3.55,14.0,83.86,70.16,0.51,4.0,YouTube,75.52,Self-study,3.0,7.19,3.0,53.4
3.76,25.0,90.38,93.13,0.34,3.0,YouTube,100.0,Self-study,1.0,7.23,4.0,60.4
3.21,40.0,,67.74,0.85,3.0,YouTube,84.81,Coaching,3.0,3.85,3.0,70.6
2.6,31.0,74.46,92.65,0.66,3.0,YouTube,57.09,Group study,3.0,0.33,,72.7
3.01,12.0,88.91,68.21,0.44,4.0,YouTube,62.67,Coaching,3.0,3.82,3.0,45.7
5.5,48.0,89.28,66.92,0.57,2.0,Coaching,53.07,,4.0,6.09,2.0,72.1
3.37,12.0,66.64,49.76,0.46,2.0,Coaching,78.16,Self-study,5.0,6.62,2.0,55.7
2.21,13.0,82.48,61.83,0.1,2.0,,78.89,Group study,3.0,7.34,2.0,39.8
0.69,0.0,89.73,57.81,0.49,2.0,YouTube,79.41,Self-study,3.0,6.5,3.0,46.8
5.27,32.0,81.94,36.76,0.56,3.0,Textbooks,69.25,Coaching,2.0,4.12,3.0,53.7
5.1,,92.51,65.99,0.75,3.0,Notes,62.95,Self-study,2.0,0.0,3.0,56.5
2.47,21.0,81.58,39.85,0.57,3.0,Coaching,70.0,Coaching,3.0,4.06,3.0,43.5
4.07,22.0,89.5,50.06,0.38,1.0,YouTube,69.98,Self-study,3.0,4.56,3.0,59.3
4.79,22.0,91.77,65.54,0.17,4.0,YouTube,69.96,Self-study,5.0,5.58,3.0,50.8
2.83,16.0,81.93,65.44,0.67,4.0,,67.21,Self-study,4.0,5.9,3.0,59.1
4.41,30.0,85.35,67.48,0.69,3.0,Notes,68.24,Coaching,4.0,7.72,1.0,69.0
4.69,15.0,80.49,86.94,0.49,2.0,Notes,80.17,Coaching,3.0,3.72,4.0,66.3
3.54,16.0,78.85,51.53,0.73,4.0,Notes,79.99,Self-study,3.0,8.26,3.0,52.7
3.74,24.0,90.96,52.09,0.45,4.0,YouTube,53.2,Self-study,3.0,2.31,3.0,45.1
2.95,32.0,93.2,58.1,0.34,2.0,Notes,58.65,Self-study,3.0,2.32,1.0,63.2
4.21,12.0,92.42,62.13,0.45,4.0,Coaching,54.0,,3.0,0.03,3.0,53.8
2.63,8.0,94.29,100.0,0.71,3.0,YouTube,54.17,Self-study,4.0,1.27,4.0,72.3
3.02,26.0,96.45,49.45,0.44,4.0,Textbooks,53.09,,4.0,4.63,4.0,59.1
2.69,25.0,58.76,83.57,0.84,3.0,Textbooks,55.86,Coaching,5.0,,3.0,62.4
2.67,13.0,85.84,100.0,0.52,4.0,YouTube,89.93,Self-study,2.0,8.94,1.0,60.5
5.13,14.0,70.78,61.36,0.63,5.0,Notes,75.22,Coaching,3.0,0.28,4.0,45.3
2.74,22.0,68.9,72.38,0.2,1.0,Coaching,70.49,Coaching,2.0,7.68,2.0,50.8
3.43,29.0,69.06,55.32,0.45,5.0,Notes,61.47,Coaching,2.0,3.85,3.0,43.0
1.14,23.0,79.86,86.99,0.12,2.0,Notes,67.7,Self-study,1.0,1.57,4.0,37.6
,19.0,76.66,76.18,0.46,4.0,YouTube,44.62,Coaching,2.0,5.96,4.0,38.7
4.16,6.0,69.41,69.83,0.35,3.0,YouTube,66.45,Self-study,1.0,0.0,3.0,40.1
6.82,8.0,94.54,94.19,0.85,4.0,Textbooks,82.62,Self-study,4.0,0.33,1.0,79.4
6.09,17.0,97.64,64.11,0.47,2.0,Textbooks,68.9,Group study,3.0,6.79,1.0,66.5
0.39,27.0,88.15,56.24,0.96,3.0,YouTube,73.81,Coaching,4.0,5.3,2.0,72.0
2.24,21.0,91.94,58.58,0.76,2.0,,44.51,Self-study,,8.87,2.0,62.5
4.54,27.0,79.25,56.02,0.58,3.0,Coaching,66.97,Self-study,4.0,5.75,2.0,69.0
1.68,27.0,82.97,67.43,0.2,3.0,YouTube,80.36,Self-study,3.0,1.3,3.0,47.8
4.64,,81.44,80.86,0.36,2.0,Notes,60.78,Group study,3.0,6.67,4.0,57.4
2.65,8.0,,82.75,0.5,3.0,Notes,48.46,Self-study,3.0,6.0,2.0,58.4
6.04,35.0,82.82,73.94,,4.0,YouTube,69.86,Coaching,3.0,6.76,3.0,75.8
3.43,8.0,84.52,66.32,0.79,3.0,Coaching,85.78,Self-study,3.0,3.68,2.0,59.7
2.3,24.0,69.56,70.66,0.46,3.0,Textbooks,82.66,Self-study,5.0,1.89,2.0,51.2
